,lat,lng,date,addr,turst
197,42.408533,-83.065002,2015/8/13,2925  HALLECK,True
198,42.354894,-83.240719,2015/8/13,8515  FIELDING,True
199,42.349755,-83.213938,2015/8/13,7811  LONGACRE,True
200,42.407282,-83.063983,2015/8/13,2936  MCPHERSON,True
201,42.42163,-83.240409,2015/8/13,18100  HEYDEN,True
202,42.333258,-83.231347,2015/8/13,6038  MINOCK,True
203,42.351142,-83.238138,2015/8/13,8076  HEYDEN,True
204,42.375689,-83.009889,2015/8/13,4853  MAXWELL,True
205,42.439926,-83.0889609,2015/8/13,15231 E STATE FAIR,True
206,42.435687,-83.010152,2015/8/13,19231  ALGONAC,True
207,42.349363,-83.200198,2015/8/13,7720  FORRER,True
208,42.438124,-82.963446,2015/8/13,15293  CORAM,True
209,42.374034,-83.241302,2015/8/13,12000  FIELDING,True
210,42.410078,-83.0563,2015/8/13,3911  SOBIESKI,True
211,42.415403,-83.060254,2015/8/13,13400  RYAN,True
212,42.322198,-83.107478,2015/8/13,2532  CAMPBELL,True
213,42.414052,-83.061652,2015/8/13,13184  MORAN,True
214,42.437129,-83.010198,2015/8/13,19375  ALGONAC,True
215,42.409592,-83.070952,2015/8/13,2402  LAWLEY,True
216,42.362898,-83.009001,2015/8/13,3064  SHERIDAN,True
217,42.410952,-83.050235,2015/8/13,5141  GARVIN,True
218,42.361845,-83.005945,2015/8/13,2901  BALDWIN,True
219,42.354605,-83.218777,2015/8/13,8437  ROSEMONT,True
220,42.360328,-83.110991,2008/12/15,7703  DEXTER,True
221,42.345917,-83.114665,2008/12/15,4440  MCGRAW,True
222,42.328919,-83.122097,2008/12/15,3903  CICOTTE,True
223,42.329186,-83.127211,2008/12/15,6846  PARKWOOD,True
224,42.33182,-83.129384,2008/12/15,4655  BRADEN,True
225,42.324213,-83.118671,2008/12/15,3228  CICOTTE,True
226,,,2008/12/15,4720  THREE MILE,True
227,42.408929,-83.244129,2008/12/15,16191  PATTON,True
228,42.421406,-83.089717,2008/12/15,17378  RUSSELL,True
229,42.421451,-83.089719,2008/12/15,17392  RUSSELL,True
230,42.422908,-83.090982,2008/12/15,17615  CARDONI,True
231,42.406291,-82.947303,2008/12/15,5709  BUCKINGHAM,True
232,42.443884,-83.06782,2008/12/15,20207  NORWOOD,True
233,42.439595,-83.069594,2008/12/15,19706  KLINGER,True
234,42.428868,-83.061799,2008/12/15,18481  DEAN,True
235,42.443017,-83.071822,2008/12/15,20131  CHAREST,True
236,42.428828,-83.061797,2008/12/15,18454  DEAN,True
237,42.326186,-83.11677,2008/12/15,3401  LIVERNOIS,True
238,42.362512,-83.192905,2008/12/15,9200  COYLE,True
239,42.341573,-83.217098,2008/12/15,6826  ASHTON,True
240,42.384344,-83.163183,2008/12/15,13167  BIRWOOD,True
241,42.405445,-83.153477,2008/12/15,15464  NORTHLAWN,True
242,42.364684,-83.113921,2008/12/15,8508  DEXTER,True
243,42.423038,-83.090988,2008/12/15,17598  CARDONI,True
244,42.424164,-83.091037,2008/12/15,17815  CARDONI,True
245,42.435642,-83.067314,2008/12/15,19300  NORWOOD,True
246,42.325319,-83.132387,2008/12/15,7417  EDWARD,True
247,42.329023,-83.139594,2008/12/15,4705  LUMLEY,True
248,42.332931,-83.12483,2008/12/15,4435  CICOTTE,True
249,42.327793,-83.119645,2008/12/15,3665  GILBERT,True
250,42.440404,-83.096197,2008/12/15,19944  OMIRA,True
251,42.420744,-83.088453,2008/12/15,17315  HULL,True
252,42.39343,-82.938901,2008/12/15,3935  BUCKINGHAM,True
253,42.403424,-82.945436,2008/12/15,5291  BUCKINGHAM,True
254,42.443537,-83.071853,2008/12/15,20173  CHAREST,True
255,42.332842,-83.138811,2008/12/15,5048  CENTRAL,True
256,42.325064,-83.12576,2008/12/15,6931  MERCIER,True
257,42.329762,-83.131895,2008/12/15,4410  EWERS,True
258,42.334657,-83.119855,2008/12/15,4545  HAMMOND,True
259,42.413366,-83.256178,2008/12/15,16820  GREYDALE,True
260,42.363926,-83.113409,2008/12/15,8401  DEXTER,True
261,42.419912,-83.088414,2008/12/15,17210  HULL,True
262,42.405199,-82.946591,2008/12/15,5582  BUCKINGHAM,True
263,42.404826,-82.94635,2008/12/15,5510  BUCKINGHAM,True
264,42.443563,-83.067801,2008/12/15,20180  NORWOOD,True
265,42.445132,-83.05066,2008/12/15,20286  MOENART,True
266,42.395194,-82.940054,2008/12/15,4201  BUCKINGHAM,True
267,42.438712,-83.071534,2008/12/15,19602  CHAREST,True
268,42.437487,-83.058997,2008/12/15,19460  JUSTINE,True
269,42.429054,-83.058562,2008/12/15,18490  JUSTINE,True
270,42.328382,-83.12704,2008/12/15,6880  WALDO,True
271,42.332012,-83.129533,2008/12/15,4669  BRADEN,True
272,42.409996,-83.241954,2008/12/15,16503  STOUT,True
273,42.369037,-83.116876,2008/12/15,9031  DEXTER,True
274,42.356312,-83.113544,2008/12/15,4228  LARCHMONT,True
275,42.369003,-83.116854,2008/12/15,9016  DEXTER,True
276,42.421471,-83.089719,2008/12/15,17398  RUSSELL,True
277,42.406921,-82.947717,2008/12/15,5807  BUCKINGHAM,True
278,42.444459,-83.070909,2008/12/15,20263  GALLAGHER,True
279,42.44317,-83.077614,2008/12/15,20153  GODDARD,True
280,42.412528,-83.040472,2008/12/15,12843  DWYER,True
281,42.404903,-82.9464,2008/12/15,5501  BUCKINGHAM,True
282,42.403424,-82.945436,2008/12/15,5291  BUCKINGHAM,True
283,42.335009,-83.128907,2008/12/15,4969  DANIELS,True
284,42.335813,-83.118846,2008/12/15,4640  WESSON,True
285,42.423061,-83.090989,2008/12/15,17604  CARDONI,True
286,42.424635,-83.092277,2008/12/15,17920  HAWTHORNE,True
287,42.42346,-83.042298,2008/12/15,17565  GABLE,True
288,42.411912,-83.042163,2008/12/15,5926  CHARLES,True
289,42.332224,-83.134137,2008/12/15,4847  CHOPIN,True
290,42.387432,-83.168672,2008/12/15,13635  MEYERS,True
291,42.358594,-83.118403,2008/12/15,4413  OREGON,True
292,42.355392,-83.11246,2008/12/15,6808  SCOTTEN,True
293,42.419301,-83.087164,2008/12/15,17193  GREELEY,True
294,42.421491,-83.08972,2008/12/15,17404  RUSSELL,True
295,42.424106,-83.091035,2008/12/15,17809  CARDONI,True
296,42.338833,-83.213309,2008/12/15,6530  LONGACRE,True
